Matrice A di dimensione 9 x 9:
-89.23	92.94	55.29	-27.89	9.75	-67.27	12.37	-77.58	-70.24	
-49.48	91.33	80.43	53.50	66.90	26.87	-17.28	35.24	48.48	
-12.89	6.31	54.33	8.55	31.94	90.50	24.48	27.12	84.34	
37.17	34.62	84.02	-47.25	68.22	-56.88	69.75	25.82	-35.63	
-97.46	32.83	-31.54	38.09	4.56	25.80	79.67	28.96	15.68	
65.11	-79.21	99.25	39.17	-98.53	-29.93	41.61	70.70	3.37	
10.60	-52.21	6.25	93.51	-35.73	57.28	-69.30	77.01	-39.66	
51.14	-57.54	-73.06	42.28	13.58	33.98	-26.50	-88.13	97.77	
19.16	82.76	55.64	-34.65	13.71	61.26	-65.97	37.11	-87.28	

Matrice B di dimensione 9 x 9:
78.76	75.09	93.11	-36.41	-97.70	69.78	70.28	-14.82	68.99	
38.43	18.29	-67.15	-10.75	83.38	33.97	-75.80	68.14	17.02	
86.25	86.76	93.13	12.35	13.26	58.59	33.98	-66.66	-94.51	
8.13	-61.60	-66.77	60.32	39.80	-81.74	-64.29	94.60	-43.33	
7.48	38.86	-89.77	17.53	-43.59	6.51	83.23	65.82	-90.90	
-23.19	17.77	28.88	-30.63	-80.79	93.43	-21.65	-52.28	13.18	
9.75	-34.45	-45.72	-11.79	-34.12	-72.44	92.05	-96.04	-7.16	
-13.90	66.68	0.02	55.75	-44.48	-78.94	-76.43	20.10	73.55	
-49.33	75.55	25.13	-54.17	18.73	-3.89	-5.76	12.23	70.27	

Risultato:
Matrice C di dimensione 9 x 9:
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

