---
PBS: la directory di lavoro e' /homes/DMA/PDC/2024/NVLFNC97Z/prova2/codice
PBS: Compilazione in esecuzione...
PBS: Compilazione completata.
PBS: Job in esecuzione su un pool di 4 threads...
>>>

Calcolo del prodotto matrice-vettore terminato in 5.208969e-03 sec
Risultato:
Riga 0 -> 18389.341812
Riga 1 -> 17219.589929
Riga 2 -> 15695.352459
Riga 3 -> 14673.989109
Riga 4 -> 18201.233831
Riga 5 -> 15710.533897
Riga 6 -> 15794.109246
Riga 7 -> 15023.760389
Riga 8 -> 15940.771937
Riga 9 -> 16531.511709
Riga 10 -> 14529.475461
Riga 11 -> 14834.216786
Riga 12 -> 17269.856485
Riga 13 -> 13595.848961
Riga 14 -> 19242.795883
Riga 15 -> 17750.397333
Riga 16 -> 20802.261691
Riga 17 -> 15011.204736
Riga 18 -> 15814.385582
Riga 19 -> 18368.905753
Riga 20 -> 17634.388341
Riga 21 -> 15745.582820
Riga 22 -> 19810.953650
Riga 23 -> 18651.670753
Riga 24 -> 17660.634700
Riga 25 -> 16366.162144
Riga 26 -> 18015.804485
Riga 27 -> 15998.036034
Riga 28 -> 19333.692553
Riga 29 -> 16138.614519
Riga 30 -> 15872.636377
Riga 31 -> 17615.002656
Riga 32 -> 16963.901097
Riga 33 -> 17153.078801
Riga 34 -> 16352.900784
Riga 35 -> 15848.058590
Riga 36 -> 13425.924252
Riga 37 -> 16985.673362
Riga 38 -> 16390.394152
Riga 39 -> 17776.026582
Riga 40 -> 15140.642943
Riga 41 -> 16697.102317
Riga 42 -> 15604.286672
Riga 43 -> 17640.004562
Riga 44 -> 16812.433503
Riga 45 -> 17826.102397
Riga 46 -> 15218.384945
Riga 47 -> 16499.299167
Riga 48 -> 16787.163789
Riga 49 -> 14784.122036
Riga 50 -> 17431.656313
Riga 51 -> 15130.895771
Riga 52 -> 13986.845294
Riga 53 -> 19266.929808
Riga 54 -> 14399.098899
Riga 55 -> 15071.611866
Riga 56 -> 17394.810684
Riga 57 -> 18047.961381
Riga 58 -> 15223.836317
Riga 59 -> 14102.586933
Riga 60 -> 15697.089379
Riga 61 -> 17332.759968
Riga 62 -> 17409.017957
Riga 63 -> 17606.834644
Riga 64 -> 14987.299116
Riga 65 -> 17765.073568
Riga 66 -> 15300.115238
Riga 67 -> 14511.284451
Riga 68 -> 17498.891931
Riga 69 -> 21175.198972
Riga 70 -> 14473.708486
Riga 71 -> 14547.197795
Riga 72 -> 16218.274430
Riga 73 -> 16457.654821
Riga 74 -> 17327.438902
Riga 75 -> 16455.278694
Riga 76 -> 16483.599484
Riga 77 -> 13423.737653
Riga 78 -> 20412.846302
Riga 79 -> 17971.973390
Riga 80 -> 20500.188306
Riga 81 -> 14748.170258
Riga 82 -> 17092.306388
Riga 83 -> 16006.770205
Riga 84 -> 17575.501242
Riga 85 -> 16307.884904
Riga 86 -> 16753.314398
Riga 87 -> 13086.673684
Riga 88 -> 13650.960230
Riga 89 -> 19040.349062
Riga 90 -> 18607.545957
Riga 91 -> 17760.778330
Riga 92 -> 16129.903456
Riga 93 -> 15500.053899
Riga 94 -> 17180.515826
Riga 95 -> 15849.006699
Riga 96 -> 18020.273859
Riga 97 -> 17004.548233
Riga 98 -> 16897.587573
Riga 99 -> 18020.611181
Riga 100 -> 19130.293002
Riga 101 -> 14134.278421
Riga 102 -> 17832.791744
Riga 103 -> 16986.500630
Riga 104 -> 18598.836946
Riga 105 -> 18295.563271
Riga 106 -> 13721.776022
Riga 107 -> 18479.005140
Riga 108 -> 17982.267203
Riga 109 -> 19386.427840
Riga 110 -> 18250.153662
Riga 111 -> 16013.856338
Riga 112 -> 14727.550790
Riga 113 -> 16990.336145
Riga 114 -> 17115.948149
Riga 115 -> 16400.370721
Riga 116 -> 15952.831581
Riga 117 -> 15729.161304
Riga 118 -> 17566.631263
Riga 119 -> 15101.136866
Riga 120 -> 19170.393972
Riga 121 -> 17676.189952
Riga 122 -> 16224.129545
Riga 123 -> 16555.791218
Riga 124 -> 18173.696568
Riga 125 -> 14361.299960
Riga 126 -> 18333.924870
Riga 127 -> 16215.074870
Riga 128 -> 16463.664742
Riga 129 -> 16610.370058
Riga 130 -> 14757.924764
Riga 131 -> 17624.498905
Riga 132 -> 13949.554100
Riga 133 -> 19409.896563
Riga 134 -> 17530.292268
Riga 135 -> 14453.760169
Riga 136 -> 16303.628592
Riga 137 -> 18235.601757
Riga 138 -> 13736.728689
Riga 139 -> 16489.306119
Riga 140 -> 19093.492651
Riga 141 -> 16545.442433
Riga 142 -> 18606.999255
Riga 143 -> 13888.876380
Riga 144 -> 17376.528132
