---
PBS: la directory di lavoro e' /homes/DMA/PDC/2024/NVLFNC97Z/prova2/codice
PBS: Compilazione in esecuzione...
PBS: Compilazione completata.
PBS: Job in esecuzione su un pool di 1 threads...
>>>

Calcolo del prodotto matrice-vettore terminato in 9.453058e-03 sec
Risultato:
Riga 0 -> 17676.579857
Riga 1 -> 15815.621198
Riga 2 -> 15686.150461
Riga 3 -> 18566.526319
Riga 4 -> 17579.753735
Riga 5 -> 15741.380399
Riga 6 -> 16321.479540
Riga 7 -> 15522.378537
Riga 8 -> 21832.899118
Riga 9 -> 13593.656075
Riga 10 -> 18265.794620
Riga 11 -> 18448.948016
Riga 12 -> 16432.974713
Riga 13 -> 16685.921902
Riga 14 -> 16814.286413
Riga 15 -> 18768.949221
Riga 16 -> 13900.306919
Riga 17 -> 17654.392772
Riga 18 -> 14080.599278
Riga 19 -> 15431.880165
Riga 20 -> 16494.978421
Riga 21 -> 17036.240378
Riga 22 -> 16989.302578
Riga 23 -> 18785.818095
Riga 24 -> 17462.939971
Riga 25 -> 16930.491363
Riga 26 -> 18295.665715
Riga 27 -> 13317.482897
Riga 28 -> 15792.369991
Riga 29 -> 18299.771998
Riga 30 -> 17386.163499
Riga 31 -> 18741.805284
Riga 32 -> 15338.098918
Riga 33 -> 15144.345097
Riga 34 -> 14120.928144
Riga 35 -> 19335.729611
Riga 36 -> 19298.523436
Riga 37 -> 15136.223676
Riga 38 -> 13054.932499
Riga 39 -> 13185.400323
Riga 40 -> 15392.967939
Riga 41 -> 18744.944027
Riga 42 -> 19536.223333
Riga 43 -> 16047.139108
Riga 44 -> 17845.142979
Riga 45 -> 17654.638936
Riga 46 -> 14951.736998
Riga 47 -> 12190.945901
Riga 48 -> 14913.195548
Riga 49 -> 17194.425537
Riga 50 -> 13902.088960
Riga 51 -> 20174.366232
Riga 52 -> 17296.267963
Riga 53 -> 13134.875404
Riga 54 -> 12191.453561
Riga 55 -> 17512.568773
Riga 56 -> 16871.608207
Riga 57 -> 16384.976415
Riga 58 -> 16940.258231
Riga 59 -> 18295.040809
Riga 60 -> 15672.514515
Riga 61 -> 17646.845877
Riga 62 -> 17203.693395
Riga 63 -> 17162.629775
Riga 64 -> 17148.449152
Riga 65 -> 18243.788254
Riga 66 -> 14262.102516
Riga 67 -> 15021.592720
Riga 68 -> 17902.450713
Riga 69 -> 18437.811768
Riga 70 -> 16495.259308
Riga 71 -> 16626.283532
Riga 72 -> 15593.561481
Riga 73 -> 13845.183712
Riga 74 -> 15630.299326
Riga 75 -> 17683.649847
Riga 76 -> 16242.091799
Riga 77 -> 18097.793371
Riga 78 -> 18020.482950
Riga 79 -> 14478.793903
Riga 80 -> 17845.136488
Riga 81 -> 16735.998912
Riga 82 -> 18078.389028
Riga 83 -> 18660.373751
Riga 84 -> 16531.846922
Riga 85 -> 12760.514774
Riga 86 -> 13703.329801
Riga 87 -> 16289.767977
Riga 88 -> 15489.688738
Riga 89 -> 17212.396784
Riga 90 -> 15864.363914
Riga 91 -> 16306.018091
Riga 92 -> 18681.321263
Riga 93 -> 15400.588249
Riga 94 -> 18022.853819
Riga 95 -> 17177.991241
Riga 96 -> 19542.079084
Riga 97 -> 17350.966045
Riga 98 -> 16402.828012
Riga 99 -> 17908.176306
Riga 100 -> 16114.009909
Riga 101 -> 16117.665170
Riga 102 -> 14668.925545
Riga 103 -> 18352.318549
Riga 104 -> 22098.148657
Riga 105 -> 15067.863359
Riga 106 -> 17847.736732
Riga 107 -> 20618.985665
Riga 108 -> 19927.835086
Riga 109 -> 17946.808233
Riga 110 -> 16504.326651
Riga 111 -> 20271.724071
Riga 112 -> 14831.057756
Riga 113 -> 17905.364035
Riga 114 -> 16944.427690
Riga 115 -> 16484.288429
Riga 116 -> 16334.207520
Riga 117 -> 14286.098676
Riga 118 -> 16137.355621
Riga 119 -> 15221.214436
Riga 120 -> 17251.824371
Riga 121 -> 15468.905238
Riga 122 -> 20221.428077
Riga 123 -> 16872.323775
Riga 124 -> 17892.170325
Riga 125 -> 15310.343464
Riga 126 -> 16644.476384
Riga 127 -> 15761.422070
Riga 128 -> 15739.066288
Riga 129 -> 15531.302095
Riga 130 -> 14405.109975
Riga 131 -> 17698.956586
Riga 132 -> 17440.243453
Riga 133 -> 18251.874896
Riga 134 -> 18677.968017
Riga 135 -> 13881.640071
Riga 136 -> 17989.116230
Riga 137 -> 16138.335133
Riga 138 -> 15547.573196
Riga 139 -> 16970.550331
Riga 140 -> 20156.314752
Riga 141 -> 19125.074506
Riga 142 -> 16028.122441
Riga 143 -> 15953.212167
Riga 144 -> 16273.243262
Riga 145 -> 16963.976256
Riga 146 -> 16054.083747
Riga 147 -> 18164.578139
Riga 148 -> 18054.014772
Riga 149 -> 16839.245819
Riga 150 -> 17621.598208
Riga 151 -> 16991.370412
Riga 152 -> 13157.522236
Riga 153 -> 16026.260372
Riga 154 -> 14356.571611
Riga 155 -> 18944.398619
Riga 156 -> 17235.500219
Riga 157 -> 16607.846797
Riga 158 -> 21052.967559
Riga 159 -> 17650.494309
Riga 160 -> 16905.378944
Riga 161 -> 15766.129597
Riga 162 -> 19349.283016
Riga 163 -> 16189.136232
Riga 164 -> 15032.438375
Riga 165 -> 15466.250541
Riga 166 -> 14335.191625
Riga 167 -> 18054.629740
Riga 168 -> 18890.636475
Riga 169 -> 15592.917216
Riga 170 -> 16249.249043
Riga 171 -> 15948.416386
Riga 172 -> 17727.384678
Riga 173 -> 18160.036305
Riga 174 -> 14650.459733
Riga 175 -> 17704.957955
Riga 176 -> 16035.931378
Riga 177 -> 14865.766344
Riga 178 -> 18053.126114
Riga 179 -> 17510.475265
Riga 180 -> 15193.162744
Riga 181 -> 15890.414889
Riga 182 -> 15870.519683
Riga 183 -> 16219.293317
Riga 184 -> 16969.858054
Riga 185 -> 17146.252218
Riga 186 -> 16617.907256
Riga 187 -> 17663.572718
Riga 188 -> 16870.282585
Riga 189 -> 15578.492921
Riga 190 -> 17471.166328
Riga 191 -> 19009.269176
Riga 192 -> 14594.753806
Riga 193 -> 18787.614772
Riga 194 -> 17670.649443
Riga 195 -> 18211.772317
Riga 196 -> 17256.651134
Riga 197 -> 16583.768632
Riga 198 -> 19646.946504
Riga 199 -> 17448.004511
Riga 200 -> 14029.383371
Riga 201 -> 19250.573730
Riga 202 -> 17450.929408
Riga 203 -> 14209.355632
Riga 204 -> 17369.012740
Riga 205 -> 17618.443846
Riga 206 -> 16988.025060
Riga 207 -> 12413.999328
Riga 208 -> 14855.530858
Riga 209 -> 18649.996986
Riga 210 -> 16884.369806
Riga 211 -> 17221.800868
Riga 212 -> 19223.670317
Riga 213 -> 16563.803407
Riga 214 -> 17004.896764
Riga 215 -> 17900.635663
Riga 216 -> 16513.144521
Riga 217 -> 12919.123422
Riga 218 -> 17791.117053
Riga 219 -> 20660.581776
Riga 220 -> 15061.240807
Riga 221 -> 14069.266942
Riga 222 -> 18030.672376
Riga 223 -> 17001.298008
Riga 224 -> 17417.340792
Riga 225 -> 16709.664672
Riga 226 -> 20157.414473
Riga 227 -> 15971.480482
Riga 228 -> 18837.440340
Riga 229 -> 18854.552633
Riga 230 -> 14714.482298
Riga 231 -> 17270.842314
Riga 232 -> 16807.687176
Riga 233 -> 15327.355448
Riga 234 -> 15593.510153
Riga 235 -> 15888.336235
Riga 236 -> 16950.932094
Riga 237 -> 19648.360449
Riga 238 -> 18572.955394
Riga 239 -> 14737.201746
Riga 240 -> 14904.510397
Riga 241 -> 18170.720350
Riga 242 -> 17219.149560
Riga 243 -> 15256.274939
Riga 244 -> 15939.045220
Riga 245 -> 12204.331406
Riga 246 -> 15013.996950
Riga 247 -> 19114.646508
Riga 248 -> 16997.860173
Riga 249 -> 15622.393739
Riga 250 -> 15785.610621
Riga 251 -> 16419.260534
Riga 252 -> 15264.520301
Riga 253 -> 18428.673728
Riga 254 -> 16943.712050
Riga 255 -> 20925.460355
Riga 256 -> 18421.065293
Riga 257 -> 17907.045121
Riga 258 -> 18157.808388
Riga 259 -> 15302.552423
Riga 260 -> 19033.328591
Riga 261 -> 16942.163177
